userid,label
244102814,Pro-Science
244526641,Pro-Science
2450272130,Pro-Science
246056422,Pro-Science
24629564,Pro-Science
24632387,Pro-Science
246351308,Anti-Science
246652807,Anti-Science
247066999,Pro-Science
247335309,Pro-Science
247488951,Pro-Science
24763608,Anti-Science
2479126040,Anti-Science
2480221380,Pro-Science
2481272924,Pro-Science
2483410144,Anti-Science
249898083,Anti-Science
250414526,Anti-Science
25046283,Anti-Science
2504634312,Anti-Science
2506275669,Anti-Science
2506548424,Pro-Science
251348038,Anti-Science
2517397851,Anti-Science
252946049,Pro-Science
252948764,Anti-Science
25392086,Anti-Science
2540515268,Anti-Science
2541837931,Anti-Science
2542291,Anti-Science
25523519,Anti-Science
25534086,Anti-Science
25541341,Anti-Science
25550828,Anti-Science
2558796343,Anti-Science
2560415227,Pro-Science
256230671,Anti-Science
256326826,Pro-Science
2567429261,Pro-Science
257202238,Anti-Science
25721908,Pro-Science
2572510116,Pro-Science
257342279,Pro-Science
257616630,Anti-Science
2587947872,Pro-Science
259174626,Pro-Science
2592168702,Pro-Science
25925234,Anti-Science
259268774,Anti-Science
259518999,Anti-Science
2603518854,Pro-Science
2611217280,Pro-Science
26288660,Anti-Science
263132777,Pro-Science
263221498,Pro-Science
263925585,Pro-Science
26401242,Pro-Science
26423643,Pro-Science
264249333,Anti-Science
264294818,Pro-Science
2644947753,Pro-Science
2646944006,Anti-Science
266334557,Pro-Science
268081846,Pro-Science
26810409,Pro-Science
2688271878,Pro-Science
2690782271,Anti-Science
2693208949,Anti-Science
269623381,Pro-Science
2696415546,Pro-Science
269992197,Anti-Science
2724092442,Pro-Science
272766371,Anti-Science
2733631795,Anti-Science
2736049019,Pro-Science
273610505,Pro-Science
274622108,Anti-Science
27479342,Anti-Science
275055336,Anti-Science
27535035,Pro-Science
2757225351,Pro-Science
27679151,Anti-Science
277784904,Anti-Science
2779636793,Anti-Science
278250487,Pro-Science
27836654,Pro-Science
2788795107,Pro-Science
279167447,Anti-Science
279777718,Anti-Science
279807995,Anti-Science
2798952526,Pro-Science
28011959,Pro-Science
2802140458,Pro-Science
2813676972,Anti-Science
28239912,Anti-Science
28264870,Pro-Science
2828618077,Anti-Science
28320595,Pro-Science
28338565,Pro-Science
2835179069,Pro-Science
2838236382,Pro-Science
2853597062,Pro-Science
285639232,Anti-Science
28577741,Anti-Science
28593799,Anti-Science
28667296,Anti-Science
287322706,Anti-Science
2874549838,Pro-Science
288321467,Pro-Science
2887880694,Anti-Science
2890164816,Anti-Science
2896272071,Pro-Science
290034472,Anti-Science
29052890,Anti-Science
29055042,Pro-Science
290798047,Anti-Science
2909535716,Anti-Science
2909761312,Anti-Science
291176465,Pro-Science
2917014667,Anti-Science
2918919935,Anti-Science
2920526121,Anti-Science
2921132148,Anti-Science
29258860,Pro-Science
2942774027,Pro-Science
2948432597,Anti-Science
2953183456,Anti-Science
2960819169,Anti-Science
2972030032,Anti-Science
29734407,Pro-Science
2982079961,Anti-Science
2986853902,Pro-Science
299073730,Pro-Science
299157866,Anti-Science
2993256821,Anti-Science
3004578825,Pro-Science
30047029,Pro-Science
300595797,Pro-Science
3013675004,Anti-Science
3013856305,Anti-Science
3014943209,Anti-Science
301741672,Pro-Science
301808429,Pro-Science
302057071,Anti-Science
302811275,Anti-Science
302905474,Pro-Science
3031006858,Anti-Science
3039442514,Anti-Science
3041690229,Anti-Science
30469565,Anti-Science
305179746,Anti-Science
3052609643,Pro-Science
306080385,Anti-Science
3064606251,Anti-Science
306836083,Anti-Science
30765366,Anti-Science
3080655244,Anti-Science
3082621202,Pro-Science
30881065,Anti-Science
3089515060,Anti-Science
3091559459,Anti-Science
30917239,Anti-Science
309382051,Anti-Science
3096692406,Anti-Science
309747604,Anti-Science
3097866020,Anti-Science
31011106,Anti-Science
3102631552,Pro-Science
3105025619,Anti-Science
310674727,Pro-Science
3107935850,Anti-Science
3111497207,Anti-Science
3121566136,Pro-Science
312330896,Anti-Science
3129263962,Anti-Science
313168472,Anti-Science
31344339,Anti-Science
31348171,Pro-Science
31452669,Anti-Science
314568371,Pro-Science
31459639,Pro-Science
31497267,Anti-Science
3153522085,Pro-Science
3156872130,Pro-Science
31571741,Anti-Science
31583855,Pro-Science
3158443105,Anti-Science
31590167,Anti-Science
31638887,Anti-Science
3168181241,Anti-Science
318738041,Pro-Science
3193470347,Anti-Science
319402584,Anti-Science
3195299143,Anti-Science
320385687,Anti-Science
320453471,Anti-Science
321227475,Pro-Science
3215562083,Anti-Science
3218857261,Anti-Science
322814850,Anti-Science
3228958027,Anti-Science
3229269492,Anti-Science
3229815178,Anti-Science
3230748524,Pro-Science
3230809837,Pro-Science
3231140483,Anti-Science
3247179151,Pro-Science
3248559797,Pro-Science
325902572,Anti-Science
32694311,Anti-Science
3271323620,Pro-Science
327148552,Anti-Science
329359129,Pro-Science
3294199580,Pro-Science
32947243,Pro-Science
3299679809,Pro-Science
330031623,Anti-Science
33020995,Pro-Science
3302466112,Pro-Science
330326324,Pro-Science
3310328672,Pro-Science
3311637872,Anti-Science
33133047,Anti-Science
331584972,Pro-Science
33201157,Pro-Science
3330556690,Anti-Science
33375706,Anti-Science
3340061835,Anti-Science
33418205,Anti-Science
3344512144,Anti-Science
334825426,Anti-Science
335791361,Pro-Science
33738261,Anti-Science
33767967,Anti-Science
33776436,Anti-Science
339107762,Anti-Science
34004563,Anti-Science
343371359,Anti-Science
34359830,Pro-Science
343626865,Anti-Science
3453766880,Anti-Science
346303986,Anti-Science
347601256,Pro-Science
347951686,Anti-Science
34987207,Pro-Science
35005558,Pro-Science
35092919,Anti-Science
35110953,Anti-Science
3512340389,Anti-Science
35233690,Anti-Science
35297904,Anti-Science
353104430,Pro-Science
353769844,Pro-Science
3541529952,Anti-Science
354311487,Anti-Science
35500685,Anti-Science
35828402,Anti-Science
36020255,Pro-Science
36025478,Anti-Science
360578964,Pro-Science
36176160,Anti-Science
362147502,Pro-Science
363902341,Anti-Science
36527461,Anti-Science
36638787,Anti-Science
367397146,Anti-Science
368552038,Anti-Science
36887020,Anti-Science
369292265,Pro-Science
3696767714,Anti-Science
369808506,Anti-Science
3703552394,Pro-Science
37061681,Pro-Science
37084083,Anti-Science
370954332,Anti-Science
37143992,Anti-Science
3718538415,Pro-Science
3719045661,Anti-Science
373146760,Pro-Science
37354588,Anti-Science
373550786,Anti-Science
