tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1295501990211002368,VegGirlQ,Mon Aug 17 23:25:18 +0000 2020,en,Americans who suffer adverse reactions to coronavirus vaccines that the U.S. is racing to develop will have a hard time getting compensated for injuries from the drugs https://t.co/r7k47CGiNT via @business,,950.0,1672.0
1295535157919842304,BusyDrT,Tue Aug 18 01:37:06 +0000 2020,en,Mask Pollution!  #Florida banned drinking straws for this same reason - lets tell #PETA  &amp; #Greenpeace they better get busy on a #BanTheMask Campaign 😉  https://t.co/4R8ATdlKKp,OH,221,60239
1295678405178949633,miraforeman,Tue Aug 18 11:06:18 +0000 2020,en,The Lie of Masks - Unmasking Covid19 https://t.co/3mGIaFQl6w via @YouTube Mandatory masks THE GREAT LIES,,1120,1010
1295682489453891585,TruthTeam101,Tue Aug 18 11:22:32 +0000 2020,en,DNC Speaker: My Dad’s Only Pre-Existing Condition Was Trusting Trump  https://t.co/Gx4vX1HDPu  #VoteBlue #Biden #BidenHarris #Covid19 #Covid,,3684,1037.0
1295696394167164928,TruthTeam101,Tue Aug 18 12:17:47 +0000 2020,en,"Flawed ""study"" incorrectly claims that countries adopting hydroxychloroquine as a treatment for COVID-19 experienced reduced mortality rates https://t.co/SB9Swoyf98 via @HealthFeedback  #hydroxychloroquine #Covid #Covid19",,3684.0,1037.0
1295704939893649410,ajividen73,Tue Aug 18 12:51:45 +0000 2020,en,Will Vegans Reject C... https://t.co/re6CXoSZG4,,575,148
1295861117386883074,CordeiroRick,Tue Aug 18 23:12:20 +0000 2020,en,SURVIVING CORONAVIRUS? https://t.co/PX4WYdgGYW,,594686.0,537954.0
1295862052796407808,CordeiroRick,Tue Aug 18 23:16:03 +0000 2020,en,HOW LONG DO YOU INTEND TO WEAR A MASK? https://t.co/2FLoS4f5zc,,594685,537951
1295863083467001856,CordeiroRick,Tue Aug 18 23:20:09 +0000 2020,en,THE REAL PANDEMIC https://t.co/PzMPDpSWhw,,594685.0,537949.0
1295867607887810561,CordeiroRick,Tue Aug 18 23:38:08 +0000 2020,en,COVID-19 FACTS THAT FACEBOOK DOESNT WANT YOU TO KNOW ABOUT. https://t.co/zaejYNBgaE,,594685,537940
1295868893408493568,CordeiroRick,Tue Aug 18 23:43:14 +0000 2020,en,PANDEMIC - PAN DEMONIC? https://t.co/75bhc7BmI1,,594685,537938
1295869330211602436,CordeiroRick,Tue Aug 18 23:44:59 +0000 2020,en,COVID-19 FOR DUMMIES AND DUMB ASSES https://t.co/RQ0UGKC8WO,,594685,537936
1295872869860352006,CordeiroRick,Tue Aug 18 23:59:02 +0000 2020,en,NOT EVEN CORONAVIRUS CAN KILL KEITH RICHARDS https://t.co/mTxMW41K8v,,594665,537913
1296069930044055552,mercola,Wed Aug 19 13:02:05 +0000 2020,en,"There is growing scientific consensus that the COVID-19 virus was created and (most likely accidentally) leaked from a dual-use military/civilian lab in Wuhan, China.     ⚠️ Twitter has CENSORED my website!  ✅ Visit 𝐌𝐞𝐫𝐜𝐨𝐥𝐚.𝐜𝐨𝐦 to read this and more news articles. https://t.co/vEof5lNtLy",FL,29962,289271.0
1296070370362101760,mercola,Wed Aug 19 13:03:50 +0000 2020,en,"Discover the link between COVID, vitamin D and immune health in this special report! #StopCOVIDCold     Click here 👉 https://t.co/zTrQJ4J6TB https://t.co/l73VUTMevG",FL,29962,289270
